Model,Global_GDT,Version,Group
T1228v2TS014_6,58.567,v2,TS014
T1228v2TS015_2,51.124,v2,TS015
T1228v2TS017_5,54.354,v2,TS017
T1228v2TS019_5,49.251,v2,TS019
T1228v2TS022_4,57.21,v2,TS022
T1228v2TS023_4,45.787,v2,TS023
T1228v2TS028_5,44.148,v2,TS028
T1228v2TS033_1,56.882,v2,TS033
T1228v2TS051_4,56.648,v2,TS051
T1228v2TS052_4,59.504,v2,TS052
T1228v2TS059_3,46.91,v2,TS059
T1228v2TS075_4,42.556,v2,TS075
T1228v2TS079_2,54.822,v2,TS079
T1228v2TS091_2,54.541,v2,TS091
T1228v2TS110_5,43.867,v2,TS110
T1228v2TS112_3,54.354,v2,TS112
T1228v2TS120_4,38.249,v2,TS120
T1228v2TS122_4,42.556,v2,TS122
T1228v2TS139_2,40.403,v2,TS139
T1228v2TS145_3,54.354,v2,TS145
T1228v2TS147_4,50.328,v2,TS147
T1228v2TS148_3,54.448,v2,TS148
T1228v2TS159_1,49.345,v2,TS159
T1228v2TS163_5,53.23,v2,TS163
T1228v2TS164_2,45.927,v2,TS164
T1228v2TS167_1,44.991,v2,TS167
T1228v2TS196_5,53.371,v2,TS196
T1228v2TS198_2,56.414,v2,TS198
T1228v2TS204_2,62.032,v2,TS204
T1228v2TS208_5,54.541,v2,TS208
T1228v2TS212_4,55.103,v2,TS212
T1228v2TS221_2,55.571,v2,TS221
T1228v2TS231_4,56.273,v2,TS231
T1228v2TS235_1,50.796,v2,TS235
T1228v2TS241_1,58.567,v2,TS241
T1228v2TS262_5,51.077,v2,TS262
T1228v2TS264_4,52.715,v2,TS264
T1228v2TS267_5,50.047,v2,TS267
T1228v2TS269_1,50.702,v2,TS269
T1228v2TS274_2,56.32,v2,TS274
T1228v2TS284_4,42.556,v2,TS284
T1228v2TS286_5,55.758,v2,TS286
T1228v2TS287_3,52.996,v2,TS287
T1228v2TS293_2,54.822,v2,TS293
T1228v2TS294_5,59.972,v2,TS294
T1228v2TS298_3,47.472,v2,TS298
T1228v2TS301_4,42.556,v2,TS301
T1228v2TS304_1,54.167,v2,TS304
T1228v2TS311_2,49.86,v2,TS311
T1228v2TS312_5,46.067,v2,TS312
T1228v2TS314_3,48.549,v2,TS314
T1228v2TS319_1,55.852,v2,TS319
T1228v2TS325_1,49.345,v2,TS325
T1228v2TS331_1,56.648,v2,TS331
T1228v2TS345_4,56.648,v2,TS345
T1228v2TS361_2,32.818,v2,TS361
T1228v2TS369_2,54.822,v2,TS369
T1228v2TS375_4,59.41,v2,TS375
T1228v2TS388_3,44.569,v2,TS388
T1228v2TS419_4,55.524,v2,TS419
T1228v2TS425_2,55.852,v2,TS425
T1228v2TS450_1,44.991,v2,TS450
T1228v2TS456_3,58.333,v2,TS456
T1228v2TS462_3,60.674,v2,TS462
T1228v2TS465_3,49.579,v2,TS465
T1228v2TS475_5,58.427,v2,TS475
T1228v2TS481_2,55.665,v2,TS481
T1228v2TS489_5,53.184,v2,TS489
T1228v2TS494_2,56.32,v2,TS494
T1228v1TS462_3,63.109,v1,TS462
T1228v1TS147_1,62.313,v1,TS147
T1228v1TS204_1,62.172,v1,TS204
T1228v1TS481_3,61.798,v1,TS481
T1228v1TS052_4,59.504,v1,TS052
T1228v1TS456_3,58.333,v1,TS456
T1228v1TS304_4,57.725,v1,TS304
T1228v1TS022_4,57.21,v1,TS022
T1228v1TS167_1,57.069,v1,TS167
T1228v1TS450_1,57.069,v1,TS450
T1228v1TS051_3,56.648,v1,TS051
T1228v1TS319_2,56.648,v1,TS319
T1228v1TS331_2,56.648,v1,TS331
T1228v1TS345_3,56.648,v1,TS345
T1228v1TS198_2,56.32,v1,TS198
T1228v1TS274_2,56.32,v1,TS274
T1228v1TS494_2,56.32,v1,TS494
T1228v1TS286_5,56.133,v1,TS286
T1228v1TS264_3,54.213,v1,TS264
T1228v1TS301_3,55.946,v1,TS301
T1228v1TS262_2,55.899,v1,TS262
T1228v1TS425_1,55.852,v1,TS425
T1228v1TS294_1,55.665,v1,TS294
T1228v1TS033_2,55.571,v1,TS033
T1228v1TS419_4,55.478,v1,TS419
T1228v1TS489_2,55.478,v1,TS489
T1228v1TS375_2,55.431,v1,TS375
T1228v1TS221_4,55.197,v1,TS221
T1228v1TS241_3,55.197,v1,TS241
T1228v1TS079_2,54.822,v1,TS079
T1228v1TS293_2,54.822,v1,TS293
T1228v1TS369_2,54.822,v1,TS369
T1228v1TS267_1,54.682,v1,TS267
T1228v1TS091_2,54.541,v1,TS091
T1228v1TS017_5,54.354,v1,TS017
T1228v1TS112_4,54.354,v1,TS112
T1228v1TS145_3,54.354,v1,TS145
T1228v1TS298_3,54.354,v1,TS298
T1228v1TS287_2,54.073,v1,TS287
T1228v1TS312_4,53.839,v1,TS312
T1228v1TS196_5,53.371,v1,TS196
T1228v1TS231_4,53.324,v1,TS231
T1228v1TS163_5,53.23,v1,TS163
T1228v1TS110_2,52.247,v1,TS110
T1228v1TS019_4,51.685,v1,TS019
T1228v1TS014_5,51.592,v1,TS014
T1228v1TS028_2,51.311,v1,TS028
T1228v1TS208_1,51.311,v1,TS208
T1228v1TS235_1,50.796,v1,TS235
T1228v1TS269_1,50.702,v1,TS269
T1228v1TS465_5,50,v1,TS465
T1228v1TS311_2,49.86,v1,TS311
T1228v1TS159_1,49.345,v1,TS159
T1228v1TS314_5,49.345,v1,TS314
T1228v1TS325_1,49.345,v1,TS325
T1228v1TS475_4,48.502,v1,TS475
T1228v1TS015_5,48.408,v1,TS015
T1228v1TS148_1,48.408,v1,TS148
T1228v1TS164_1,48.034,v1,TS164
T1228v1TS023_3,45.787,v1,TS023
T1228v1TS059_3,45.459,v1,TS059
T1228v1TS212_1,44.71,v1,TS212
T1228v1TS075_3,44.195,v1,TS075
T1228v1TS122_3,44.195,v1,TS122
T1228v1TS284_3,44.195,v1,TS284
T1228v1TS388_3,44.101,v1,TS388
T1228v1TS139_4,40.59,v1,TS139
T1228v1TS120_4,38.343,v1,TS120
T1228v1TS361_1,32.772,v1,TS361
